2021-03-08 15:38:19 [main] DEBUG logging:38 - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2021-03-08 15:38:19 [main] DEBUG LogHelper:102 - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@5451c3a8
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (null)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/D:/AU-Project-Team-2/Backend/target/test-classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.au.discussionforum.model.Answer
		com.au.discussionforum.model.QuesKeywords
		com.au.discussionforum.model.Question
		com.au.discussionforum.model.Topic
		com.au.discussionforum.model.User
		com.au.discussionforum.model.UserTopic]
	Mapping files names []
	Properties []
2021-03-08 15:38:19 [main] DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-03-08 15:38:19 [main] DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-03-08 15:38:19 [main] DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-03-08 15:38:19 [main] INFO  Version:44 - HHH000412: Hibernate ORM core version 5.4.28.Final
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@12a7df1f
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@12a7df1f
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@12a0dc5a
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@12a0dc5a
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@1a4b318
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@1a4b318
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration string -> org.hibernate.type.StringType@751d2d80
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.String -> org.hibernate.type.StringType@751d2d80
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@20984847
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1bbdd833
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration url -> org.hibernate.type.UrlType@730b7e7e
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@730b7e7e
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration Duration -> org.hibernate.type.DurationType@7a3769ed
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@7a3769ed
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration Instant -> org.hibernate.type.InstantType@705cc9c5
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@705cc9c5
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@7dddbb74
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@7dddbb74
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@6f517348
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@6f517348
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@399a7130
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@399a7130
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@58e71a08
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@58e71a08
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@2270b999
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@2270b999
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@27f22d1a
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@27f22d1a
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration date -> org.hibernate.type.DateType@61ac4f69
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@61ac4f69
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration time -> org.hibernate.type.TimeType@edaff21
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@edaff21
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration timestamp -> org.hibernate.type.TimestampType@61450111
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@61450111
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@61450111
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@3e9cceff
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration calendar -> org.hibernate.type.CalendarType@168c8773
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@168c8773
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@168c8773
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@72e29c3d
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@5e9c5247
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration locale -> org.hibernate.type.LocaleType@70f5331d
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@70f5331d
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration currency -> org.hibernate.type.CurrencyType@fe619cb
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@fe619cb
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@76bc765d
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@76bc765d
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration class -> org.hibernate.type.ClassType@242767e0
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@242767e0
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@6eea863f
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@6eea863f
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@1c87b428
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration binary -> org.hibernate.type.BinaryType@2aa6a642
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration byte[] -> org.hibernate.type.BinaryType@2aa6a642
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration [B -> org.hibernate.type.BinaryType@2aa6a642
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@686dc8e2
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@686dc8e2
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@686dc8e2
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration row_version -> org.hibernate.type.RowVersionType@46b72cab
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration image -> org.hibernate.type.ImageType@3fd8e5a4
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration characters -> org.hibernate.type.CharArrayType@56efe793
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration char[] -> org.hibernate.type.CharArrayType@56efe793
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration [C -> org.hibernate.type.CharArrayType@56efe793
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@14d59f0e
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@14d59f0e
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@14d59f0e
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration text -> org.hibernate.type.TextType@7f121bd5
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration ntext -> org.hibernate.type.NTextType@1bbeedf9
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration blob -> org.hibernate.type.BlobType@60d3644
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@60d3644
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@7c3ed6f1
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration clob -> org.hibernate.type.ClobType@78509083
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@78509083
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration nclob -> org.hibernate.type.NClobType@10db1a9d
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@10db1a9d
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@626d18e5
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@5cd0b9d6
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration serializable -> org.hibernate.type.SerializableType@7ad8bd4d
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration object -> org.hibernate.type.ObjectType@3f61f9f0
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@3f61f9f0
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@5807766d
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@6e77d9e6
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@3d034f01
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@28d8ac67
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@4b0f130f
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@1b675b61
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@3c3b644b
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@51ed4c3f
2021-03-08 15:38:20 [main] DEBUG BootstrapContextImpl:259 - Injecting JPA temp ClassLoader [org.springframework.instrument.classloading.SimpleThrowawayClassLoader@188a4e82] into BootstrapContext; was [null]
2021-03-08 15:38:20 [main] DEBUG ClassLoaderAccessImpl:45 - ClassLoaderAccessImpl#injectTempClassLoader(org.springframework.instrument.classloading.SimpleThrowawayClassLoader@188a4e82) [was null]
2021-03-08 15:38:20 [main] DEBUG BootstrapContextImpl:269 - Injecting ScanEnvironment [org.hibernate.jpa.boot.internal.StandardJpaScanEnvironmentImpl@55fbc7ab] into BootstrapContext; was [null]
2021-03-08 15:38:20 [main] DEBUG BootstrapContextImpl:264 - Injecting ScanOptions [org.hibernate.boot.archive.scan.internal.StandardScanOptions@47340483] into BootstrapContext; was [org.hibernate.boot.archive.scan.internal.StandardScanOptions@626ca162]
2021-03-08 15:38:20 [main] DEBUG BootstrapContextImpl:259 - Injecting JPA temp ClassLoader [null] into BootstrapContext; was [org.springframework.instrument.classloading.SimpleThrowawayClassLoader@188a4e82]
2021-03-08 15:38:20 [main] DEBUG ClassLoaderAccessImpl:45 - ClassLoaderAccessImpl#injectTempClassLoader(null) [was org.springframework.instrument.classloading.SimpleThrowawayClassLoader@188a4e82]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2021-03-08 15:38:20 [main] DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
2021-03-08 15:38:21 [main] DEBUG JdbcEnvironmentInitiator:72 - Database ->
       name : MySQL
    version : 8.0.23
      major : 8
      minor : 0
2021-03-08 15:38:21 [main] DEBUG JdbcEnvironmentInitiator:83 - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.23 (Revision: 18bbd5e68195d0da083cbd5bd0d05d76320df7cd)
      major : 8
      minor : 0
2021-03-08 15:38:21 [main] DEBUG JdbcEnvironmentInitiator:389 - JDBC version : 4.2
2021-03-08 15:38:21 [main] INFO  Dialect:175 - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-03-08 15:38:21 [main] DEBUG IdentifierHelperBuilder:115 - JDBC driver metadata reported database stores quoted identifiers in more than one case
2021-03-08 15:38:21 [main] DEBUG IdentifierHelperBuilder:189 - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [LOWER]; that will likely lead to problems in schema update and validation if using quoted identifiers
2021-03-08 15:38:21 [main] DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2021-03-08 15:38:21 [main] DEBUG TypeConfiguration$Scope:152 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@1fbd28b] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@1712dd23]
2021-03-08 15:38:21 [main] DEBUG AnnotationBinder:560 - Binding entity from annotated class: com.au.discussionforum.model.Answer
2021-03-08 15:38:22 [main] DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-03-08 15:38:22 [main] DEBUG EntityBinder:430 - Import with entity name Answer
2021-03-08 15:38:22 [main] DEBUG EntityBinder:873 - Bind entity com.au.discussionforum.model.Answer on table answer
2021-03-08 15:38:22 [main] DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(answer), mappingColumn=ans_id, insertable=true, updatable=true, unique=false}
2021-03-08 15:38:22 [main] DEBUG ClassLoaderAccessImpl:60 - Not known whether passed class name [com.au.discussionforum.model.Answer] is safe
2021-03-08 15:38:22 [main] DEBUG ClassLoaderAccessImpl:62 - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : com.au.discussionforum.model.Answer
2021-03-08 15:38:22 [main] DEBUG PropertyBinder:175 - MetadataSourceProcessor property ansId with lazy=false
2021-03-08 15:38:22 [main] DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.au.discussionforum.model.Answer:ansId]
2021-03-08 15:38:22 [main] DEBUG SimpleValueBinder:410 - building SimpleValue for ansId
2021-03-08 15:38:22 [main] DEBUG PropertyBinder:266 - Building property ansId
2021-03-08 15:38:22 [main] DEBUG BinderHelper:643 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(ans_id)]), ansId, identity, , ...)
2021-03-08 15:38:22 [main] DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(answer), mappingColumn=answer_body, insertable=true, updatable=true, unique=false}
2021-03-08 15:38:22 [main] DEBUG PropertyBinder:175 - MetadataSourceProcessor property answerBody with lazy=false
2021-03-08 15:38:22 [main] DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.au.discussionforum.model.Answer:answerBody]
2021-03-08 15:38:22 [main] DEBUG SimpleValueBinder:410 - building SimpleValue for answerBody
2021-03-08 15:38:22 [main] DEBUG PropertyBinder:266 - Building property answerBody
2021-03-08 15:38:22 [main] DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(answer), mappingColumn=correct, insertable=true, updatable=true, unique=false}
2021-03-08 15:38:22 [main] DEBUG PropertyBinder:175 - MetadataSourceProcessor property correct with lazy=false
2021-03-08 15:38:22 [main] DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.au.discussionforum.model.Answer:correct]
2021-03-08 15:38:22 [main] DEBUG SimpleValueBinder:410 - building SimpleValue for correct
2021-03-08 15:38:22 [main] DEBUG PropertyBinder:266 - Building property correct
2021-03-08 15:38:22 [main] DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='ques_id', referencedColumn='', mappedBy=''}
2021-03-08 15:38:22 [main] DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(answer), mappingColumn=question, insertable=true, updatable=true, unique=false}
2021-03-08 15:38:22 [main] DEBUG PropertyBinder:266 - Building property question
2021-03-08 15:38:22 [main] DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='user_id', referencedColumn='', mappedBy=''}
2021-03-08 15:38:22 [main] DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(answer), mappingColumn=user, insertable=true, updatable=true, unique=false}
